playlist_id,playlist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,track.disc_number,track.duration_ms,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track_number,track.uri,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,key_name,mode_name,key_mode
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.63,0.584,6,-7.135,1,0.346,0.00769,0,0.128,0.472,149.918,1rMBDDbqYSXgnMFCua6EMh,4,1,177600,FALSE,https://api.spotify.com/v1/tracks/1rMBDDbqYSXgnMFCua6EMh,FALSE,Bye Bye pra Minha Ex,45,https://p.scdn.co/mp3-preview/90bb9076fd53c55145bc0930e77fc1f96473f93f?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:1rMBDDbqYSXgnMFCua6EMh,6Ak2zBvVSYVwG9ni8XXNzS,Bye Bye pra Minha Ex,2019-09-09,day,F#,major,F# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.822,0.928,1,-1.564,0,0.229,0.539,3.02e-4,0.0231,0.653,165.022,1oyMNTDQfTOgjPI2BSaRxk,4,1,196363,TRUE,https://api.spotify.com/v1/tracks/1oyMNTDQfTOgjPI2BSaRxk,FALSE,Quem Ama Demais Sofre Demais,41,https://p.scdn.co/mp3-preview/5b5e52002ff3afc49278b0128217cddd9912010c?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:1oyMNTDQfTOgjPI2BSaRxk,3KgcHk08I9l8HAP2BN9OhC,Quem Ama Demais Sofre Demais,2019-09-13,day,C#,minor,C# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.615,0.335,6,-7.135,1,0.711,0.0574,2.55e-5,0.102,0.667,187.6,22wB4D2RMmHpwa0u5b2gHH,5,1,147252,TRUE,https://api.spotify.com/v1/tracks/22wB4D2RMmHpwa0u5b2gHH,FALSE,Sem Você Não Sou Ninguém,0,https://p.scdn.co/mp3-preview/b5b38d480956593d8bb644199173f3a061a66ffc?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:22wB4D2RMmHpwa0u5b2gHH,0L1wHL0VBWOgxBwmPdY3w3,Sem Você Não Sou Ninguém,2019-09-20,day,F#,major,F# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.69,0.487,5,-7.34,0,0.32,0.334,2.24e-6,0.101,0.299,103.138,3LSqMIW4iDZb5DD762D67h,5,1,182874,TRUE,https://api.spotify.com/v1/tracks/3LSqMIW4iDZb5DD762D67h,FALSE,Minha Fechamento,0,https://p.scdn.co/mp3-preview/f9d7dc53b33d9e6d545de0315c6d6d8ea4970953?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3LSqMIW4iDZb5DD762D67h,469Bj1Mel0PbyjZTFsSQLq,Minha Fechamento,2019-09-20,day,F,minor,F minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.85,0.499,5,-4.598,0,0.0604,0.307,0,0.059,0.79,132.051,7KSD4SWXfs5jsoAYGN2ahv,4,1,149090,FALSE,https://api.spotify.com/v1/tracks/7KSD4SWXfs5jsoAYGN2ahv,FALSE,Em Busca de um Amor Tranquilo,57,https://p.scdn.co/mp3-preview/edd77104acc3740b4b80248f5af8d49f5c97906d?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:7KSD4SWXfs5jsoAYGN2ahv,5XxzNceMNddnTdpFezFJTX,Em Busca de um Amor Tranquilo,2019-08-20,day,F,minor,F minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.871,0.591,1,-4.965,1,0.0807,0.346,0,0.269,0.535,129.99,0fSrqpqnCcqnTplnrfQXGa,4,1,81230,FALSE,https://api.spotify.com/v1/tracks/0fSrqpqnCcqnTplnrfQXGa,FALSE,Passei de Nave,65,https://p.scdn.co/mp3-preview/87d6abf9a16f27e9273fc66dde0fce76aa1dc2ea?cid=5980655d195f46ee8995cd0e1dd7f376,3,spotify:track:0fSrqpqnCcqnTplnrfQXGa,0SG6SKXEwpoQLrrpuD5wDv,Sintonia (Uma Serie Original Netflix Sintonia Kondzilla),2019-08-16,day,C#,major,C# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.674,0.447,5,-3.761,1,0.493,0.688,0,0.182,0.824,150.237,3NnW2EqJxvHYrRy3upaznl,4,1,236852,FALSE,https://api.spotify.com/v1/tracks/3NnW2EqJxvHYrRy3upaznl,FALSE,Resenha lá em casa,74,https://p.scdn.co/mp3-preview/2871c0e5785cb3ab77e3d1c4cae734c415287a85?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3NnW2EqJxvHYrRy3upaznl,3woJd4AFogSyxqK3wkzPk2,Resenha lá em casa,2019-07-05,day,F,major,F major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.775,0.929,11,-3.049,0,0.154,0.467,0,0.358,0.911,150.068,23GNCotvXa7WPvgYuruJjE,4,1,164800,FALSE,https://api.spotify.com/v1/tracks/23GNCotvXa7WPvgYuruJjE,FALSE,Para não,73,https://p.scdn.co/mp3-preview/73ea4df9e0f51a1139c74a4f79d8ceacf644869a?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:23GNCotvXa7WPvgYuruJjE,3XZmGL1Kd4L7u7GbPoglhf,Para não,2019-08-09,day,B,minor,B minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.847,0.934,3,-2.551,0,0.101,0.0515,0,0.0956,0.964,150.044,5jp1vwd5AaECP4uh4YImiL,4,1,172852,FALSE,https://api.spotify.com/v1/tracks/5jp1vwd5AaECP4uh4YImiL,FALSE,Vingativa,0,https://p.scdn.co/mp3-preview/8bab85779eff9cc8f9d40a682c9823d870fd03ed?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:5jp1vwd5AaECP4uh4YImiL,5o28H7OZcQy5hQ2WrqqncZ,Vingativa,2019-09-20,day,D#,minor,D# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.838,0.568,5,-5.555,0,0.111,0.419,0,0.0617,0.939,170.015,2qiqXQ2Suc253bR7k9AKVD,4,1,124000,TRUE,https://api.spotify.com/v1/tracks/2qiqXQ2Suc253bR7k9AKVD,FALSE,Baile da Colômbia (Brega Funk) - Remix,77,https://p.scdn.co/mp3-preview/39d4f21a9c0565e1e9d9442602dacb40952c3e1f?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:2qiqXQ2Suc253bR7k9AKVD,1NQC25AEr4r48PC6AcTZ2m,Baile da Colômbia (Brega Funk) [Remix],2019-05-08,day,F,minor,F minor
